#Stand	Length (m)	Cable type	Est. attenuation at 50 MHz (dBm)	Delay (ns)	Length (m)	Delay (ns)	Length (m)	Delay (ns)	Length (m)	Delay (ns)	Length (m)
110	144.10	CNT-240-DB	8.93	586.84	144.26	583.82	143.52	594.45	146.13	591.37	145.38
111	146.70	CNT-240-DB	9.10	597.75	146.94	594.71	146.20	617.26	151.74	614.01	150.94
112	133.50	CNT-240-DB	8.28	546.95	134.46	544.06	133.75	545.11	134.00	542.15	133.28
113	128.40	CNT-240-DB	7.96	526.16	129.35	523.28	128.64	522.93	128.55	520.05	127.84
114	125.60	CNT-240-DB	7.79	517.98	127.33	515.14	126.64	510.89	125.59	508.13	124.91
115	123.50	CNT-240-DB	7.66	502.88	123.62	500.33	123.00	509.68	125.29	507.05	124.65
116	119.40	CNT-240-DB	7.40	487.90	119.94	485.38	119.32	492.67	121.11	490.13	120.49
117	115.60	CNT-240-DB	7.17	470.10	115.56	467.65	114.96	475.70	116.94	473.25	116.34
118	112.50	CNT-240-DB	6.98	466.23	114.61	463.66	113.98	462.70	113.75	460.18	113.13
119	115.00	CNT-240-DB	7.13	468.57	115.19	466.10	114.58	491.57	120.84	488.94	120.20
120	108.50	CNT-240-DB	6.73	444.19	109.19	441.74	108.59	444.12	109.18	441.66	108.57
121	98.90	CNT-240-DB	6.13	403.12	99.10	401.03	98.59	405.79	99.76	403.69	99.24
122	91.10	CNT-240-DB	5.65	373.01	91.70	371.05	91.22	376.55	92.57	374.58	92.08
123	84.40	CNT-240-DB	5.23	343.46	84.43	341.56	83.97	343.85	84.52	341.91	84.05
124	75.60	CNT-240-DB	4.69	309.52	76.09	308.52	75.84	310.36	76.30	309.38	76.06
125	58.90	CNT-240-DB	3.65	244.87	60.20	243.56	59.87	242.17	59.53	240.84	59.21
126	61.40	CNT-240-DB	3.81	250.93	61.69	249.62	61.37	252.32	62.03	251.01	61.71
127	48.30	CNT-240-DB	2.99	197.47	48.54	196.84	48.39	196.63	48.34	196.01	48.19
128	35.30	CNT-240-DB	2.19	143.93	35.38	143.02	35.16	145.73	35.83	144.82	35.60
129	234.30	CNT-240-DB	14.53	958.62	235.66	953.47	234.39	955.08	234.79	949.99	233.54
